Video ID,Title,Description,Tags,Views,Likes
NOXK4EVFmJY,['Privacy on iPhone | Data Auction | Apple'],"['iPhone has privacy features like App Tracking Transparency and Mail Privacy Protection that help you control who sees your data and who doesn’t. \n\nLearn more at https://apple.co/_privacy\n\nSong: “Fantasy” by Esquivel\nhttps://apple.co/3PbHQcy\n\nSong: “Playground” by More Giraffes & Sweater Beats\nhttps://apple.co/3Fkr6v4\n#Privacy #PrivacyOniPhone\n\nWelcome to the official Apple YouTube channel. Here you’ll find news about product launches, tutorials, and other great content. Our more than 160,000 employees are dedicated to making the best products on earth, and to leaving the world better than we found it.']","[['Apple', 'apple transparency', 'app tracking', 'apple privacy', 'apple iPhone privacy', 'iPhone privacy', 'apple privacy policy', 'apple security', 'iPhone security', 'apple privacy ad', 'Tim Cook privacy', 'Privacy on iPhone', 'Apple Privacy settings', 'Mail privacy protection', 'safari tracking', 'apple privacy commercial', 'Apple mail privacy', 'iPhone', 'iPhone 13', 'iPhone 13 Pro', 'iPhone 13 Pro Max', 'iPhone 13 mini', 'App Tracking Transparency', 'Safari', 'Apple iPhone Security', ""Privacy That's iPhone""]]",['15715270'],['72540']
1HWUjMjaBJI,['Privacy on iPhone | A Day in the Life of an Average Person’s Data | Apple'],"['iPhone is designed with privacy built in. Follow Nick Mohammed through his “average” day to learn how data companies are trying to collect your personal information and how your iPhone can help protect you.\n\nAudio Descriptions: https://apple.co/3XXtD6M\n\n00:00 - Introduction\n00:53 - Mail Privacy Protection\n01:36 - Intelligent Tracking Prevention\n2:30 - App Tracking Transparency\n3:53 - Wallet & Apple Pay\n4:54 - Ending\n\nLearn more at https://apple.co/3X62E8F\n\nJoin a free session at your Apple Store to learn how to take control of your privacy on iPhone. Sign up now. https://apple.co/3jGKegl\n\n#Privacy #PrivacyOniPhone\n\nWelcome to the official Apple YouTube channel. Here you’ll find news about product launches, tutorials, and other great content. Apple’s more than 160,000 employees are dedicated to making the best products on earth, and to leaving the world better than we found it.']","[['Apple', 'Privacy', 'iPhone Privacy', 'Privacy on iPhone', 'Privacy Settings', 'iOS Privacy', 'Privacy Protections', 'Privacy Features', 'Phone Privacy', 'Phone tracking', 'Mail Privacy Protection', 'Intelligent Tracking Prevention', 'Apple Maps', 'App Tracking Transparency', 'Apple Wallet', 'Apple Pay', 'Nick Mohammed', 'Nathan Shelley']]",['20673156'],['20234']
Ihw_Al4RNno,['Privacy | App Tracking Transparency | Apple'],"['App Tracking Transparency lets you control which apps are allowed to track your activity across other companies’ apps and websites. \n\nLearn more: http://apple.com/privacy \n\nSong: ""The Chrismastoph Waltz” by Dan Rosen\n\n#ApplePrivacy\n\nWelcome to the official Apple YouTube channel. Here you’ll find news about product launches, tutorials, and other great content. Apple’s more than 160,000 employees are dedicated to making the best products on earth, and to leaving the world better than we found it.']","[['Apple', 'apple transparency', 'app tracking', 'apple privacy', 'apple iPhone privacy', 'iPhone privacy', 'apple privacy policy', 'apple app tracking', 'apple security', 'iPhone security', 'apple privacy ad', 'Tim Cook privacy']]",['6574509'],['126053']
OaLxTz1Yw7M,['Tim Cook on Privacy'],"['On January 28, 2021, Apple CEO Tim Cook delivered remarks at\xa0Computers, Privacy & Data Protection Conference: Enforcing Rights in a Changing World. The virtual conference — hosted annually in Brussels, Belgium — is one of the foremost international privacy and technology conferences bringing together leaders from academia, government, civil society and the private sector. Learn more about the features and controls Apple provides users to safeguard their privacy at http://www.apple.com/privacy.']","[['Tim Cook', 'Apple', 'privacy', 'app tracking transparency', 'data', 'security']]",['1212121'],['55564']
0TD96VTf0Xs,['WWDC 2021 — June 7 | Apple'],"['Watch the WWDC21 Apple Keynote for an in-depth look at updates on iOS, iPadOS, watchOS, tvOS, macOS, AirPods, and Privacy, broadcasting from Apple Park.\n\nTo watch the event interpreted in American Sign Language (ASL), please click here: https://youtu.be/iW6WTo4lZxQ\n\n00:00:00 Introduction \n5:17 iOS\n34:22 AirPods\n37:38 iPadOS\n48:39 Privacy\n53:13 iCloud\n57:05 Health\n1:07:16 watchOS\n1:14:12 Home\n1:19:52 macOS\n1:33:18 Developer Technologies and App Store\n\nFor more on the Apple Worldwide Developers Conference click here: https://developer.apple.com/wwdc21/\n\nAudio Descriptions: https://apple.co/3RcfGPW\n\n‘Smile’ - Wolf Alice http://apple.co/WolfAliceSmile\n‘Wait, I Lied’ - Alfie Templeman http://apple.co/WaitILied\n‘Pumpin Blood’ - NONONO http://apple.co/PumpinBlood\n‘Oh, What a World’ - Kacey Musgraves http://apple.co/OhWhataWorld\n‘On and On’ - Curtis Harding http://apple.co/OnandOn\n‘On Top of the World’ - Imagine Dragons http://apple.co/OnTopoftheWorld\n‘Nobody but You’ - Boston Bun http://apple.co/NobodybutYou\n‘just like magic’ - Ariana Grande http://apple.co/justlikemagic\n‘Ferris Wheel’ - Gilligan Moss http://apple.co/FerrisWheel\n‘My World’ - Toulouse \n‘Motorbike’ - Leon Bridges http://apple.co/Motorbike\n‘Mossa’ - moa moa \n‘Film Scene Daydream’ - Alife Templeman http://apple.co/FilmSceneDaydream\n‘TUNG TIED (feat. Rico Nasty)’ - LoveLeo http://apple.co/TUNGTIED\n\n#AppleEvent #WWDC21 #AppleKeynote\n\nWelcome to the official Apple YouTube channel. Here you’ll find news about product launches, tutorials, and other great content. Apple’s more than 160,000 employees are dedicated to making the best products on earth, and to leaving the world better than we found it.']","[['Apple', 'Apple Event', 'Apple Keynote', 'Apple Special Event', 'Apple WWDC', 'June', 'Developers', 'World Wide Developers Conference', '2021', 'WWDC', 'WWDC 2021', 'iPhone', 'keynote', 'Mac', 'iMac', 'iPad', 'M1', 'iOS', 'iPad Pro', 'swiftui', 'swift', 'iOS 15', 'm1x MacBook Pro', 'm1x']]",['8950658'],['258718']
LpVfvzEGdNU,['Message Privately with Layers of Privacy Features | WhatsApp'],"['When you want to watch or chat about the big match without distractions, protect your night from unwanted interruptions with WhatsApp’s privacy features. WhatsApp privacy features keep interruptions from taking you out of the moment, so you can choose who to chat with and when.  With WhatsApp, you’re in control of your privacy. You can turn read receipts on or off, enable disappearing messages or use block & report to help prevent spam. With even more privacy features coming soon, you’ll be able to decide who can see when you’re online, leave a group without notifying anyone but the admin and even block screenshots of your View Once messages. \n\nLearn More About WhatsApp Privacy Features: https://www.whatsapp.com/privacy\n\nStay connected with WhatsApp:\nLike WhatsApp on Facebook https://www.facebook.com/WhatsApp   \nFollow WhatsApp on Twitter: https://twitter.com/whatsapp   \nFollow WhatsApp on Instagram: https://www.instagram.com/whatsapp/    \n\n#whatsapp  #messaging  #privacy']","[['whatsapp messaging', 'whatsapp', 'messaging', 'instant messaging', 'whatsapp tutorial', 'whatsapp security', 'how to use whatsapp', 'using whatsapp', 'whatsapp for beginners', 'whatsapp guide', 'how whatsapp works', 'use whatsapp', 'whatsapp tutorial for beginners', 'whatsapp encryption', 'whatsapp privacy', 'whatsapp read receipts', 'whatsapp read receipts off', 'privacy', 'read receipts', 'whatsapp read receipt', 'last seen', 'whatsapp last seen', 'privacy setting', 'privacy feature', 'private messaging']]",['26170'],['251']
zvI4cVGWJhM,['A New Era of Personal Privacy with Default End-to-Encryption | WhatsApp'],"[""Step-up to a new era of personal privacy with default end-to-end encryption. Message Privately with WhatsApp.\n\nWith WhatsApp, all your chats are protected by default with end-to-end encryption. End-to-end encryption ensures only you and the person you're communicating with can read or listen to what is sent, and nobody in between, not even WhatsApp, can see your messages. This is because with end-to-end encryption, your messages are secured with a lock, and only the recipient and you have the special key needed to unlock and read them. All of this happens automatically: no need to turn on settings or set up special secret chats to secure your messages.\n\nNo pigeons. Just WhatsApp. \n\nLearn More About WhatsApp Privacy Features: https://www.whatsapp.com/privacy\n\nStay connected with WhatsApp:\nLike WhatsApp on Facebook https://www.facebook.com/WhatsApp   \nFollow WhatsApp on Twitter: https://twitter.com/whatsapp   \nFollow WhatsApp on Instagram: https://www.instagram.com/whatsapp/    \n\n#WhatsApp #Messaging #Encryption""]","[['whatsapp messaging', 'whatsapp', 'messaging', 'instant messaging', 'whatsapp security', 'how to use whatsapp', 'using whatsapp', 'whatsapp encryption', 'whatsapp privacy', 'privacy', 'privacy setting', 'privacy feature', 'private messaging', 'end to end encryption', 'message encryption', 'encrypted messaging', 'encrypted messages', 'new era of privacy', 'private message', 'private messages', 'privacy features', 'encryption', 'message privately', 'whatsapp privacy features', 'whats app']]",['883744'],['12219']
gA6UDpd2ipc,['Layers of Privacy Features to Protect Your Night Out | WhatsApp'],"['WhatsApp’s privacy features keep family drama off the dance floor, making your night out more protected. New privacy features put you in control and keep interruptions from taking you out of the moment, so you can choose who to chat with and when.  \n\nWith WhatsApp, you’re in control of your privacy. You can turn read receipts on or off, enable disappearing messages or use block & report to help prevent spam. With even more privacy features coming soon, you’ll be able to decide who can see when you’re online, leave a group without notifying anyone but the admin and even block screenshots of your View Once messages. \n\nLearn More About WhatsApp Privacy Features: https://www.whatsapp.com/privacy\n\nStay connected with WhatsApp:\nLike WhatsApp on Facebook https://www.facebook.com/WhatsApp   \nFollow WhatsApp on Twitter: https://twitter.com/whatsapp   \nFollow WhatsApp on Instagram: https://www.instagram.com/whatsapp/    \n\n#WhatsApp #Messaging #Privacy']","[['whatsapp messaging', 'whatsapp', 'messaging', 'instant messaging', 'whatsapp tutorial', 'whatsapp security', 'how to use whatsapp', 'using whatsapp', 'whatsapp for beginners', 'whatsapp guide', 'how whatsapp works', 'use whatsapp', 'whatsapp tutorial for beginners', 'whatsapp encryption', 'whatsapp privacy', 'whatsapp read receipts', 'whatsapp read receipts off', 'privacy', 'read receipts', 'whatsapp read receipt', 'last seen', 'whatsapp last seen', 'privacy setting', 'privacy feature', 'private messaging']]",['53050'],['617']
3O8MXYsb5Kk,['Privacy Features Put You in Control | WhatsApp'],"[""WhatsApp’s privacy features put you in charge so you can message privately with layers of protection. \n\nOur mission is to connect the world privately by designing a product that's simple and private. Whether you are sending a personal message to your friends or family, or messaging with a business, your communications are secure and you are in control. You can choose to turn read receipts on or off, choose to leave a group chat without notifying everyone or choose who can see your last seen and online status. \n\n\nLearn More About WhatsApp Privacy Features: https://www.whatsapp.com/privacy\n\nStay connected with WhatsApp:\nLike WhatsApp on Facebook https://www.facebook.com/WhatsApp   \nFollow WhatsApp on Twitter: https://twitter.com/whatsapp  \nFollow WhatsApp on Instagram: https://www.instagram.com/whatsapp/     \n\n#WhatsApp #Messaging #Privacy""]","[['whatsapp messaging', 'whatsapp', 'messaging', 'instant messaging', 'whatsapp tutorial', 'whatsapp security', 'how to use whatsapp', 'using whatsapp', 'whatsapp for beginners', 'whatsapp guide', 'how whatsapp works', 'use whatsapp', 'whatsapp tutorial for beginners', 'whatsapp encryption', 'whatsapp privacy', 'whatsapp read receipts', 'whatsapp read receipts off', 'privacy', 'read receipts', 'whatsapp read receipt', 'last seen', 'whatsapp last seen', 'privacy setting', 'privacy feature', 'private messaging']]",['65953'],['1454']
fyoJ6NYtkBA,['Privacy Features To Protect Your Date Night | WhatsApp'],"[""WhatsApp’s privacy features put you in charge so you can message privately with layers of protection. \n\nOur mission is to connect the world privately by designing a product that's simple and private. Whether you are sending a personal message to your friends or family, or messaging with a business, your communications are secure and you are in control. You can choose to turn read receipts on or off, choose to leave a group chat without notifying everyone or choose who can see your last seen and online status. \n\nLearn More About WhatsApp Privacy Features: https://www.whatsapp.com/privacy\n\nStay connected with WhatsApp:\nLike WhatsApp on Facebook https://www.facebook.com/WhatsApp   \nFollow WhatsApp on Twitter: https://twitter.com/whatsapp   \nFollow WhatsApp on Instagram: https://www.instagram.com/whatsapp/    \n\n#WhatsApp #Messaging #Privacy""]","[['whatsapp messaging', 'whatsapp', 'messaging', 'instant messaging', 'whatsapp tutorial', 'whatsapp security', 'how to use whatsapp', 'using whatsapp', 'whatsapp for beginners', 'whatsapp guide', 'how whatsapp works', 'use whatsapp', 'whatsapp tutorial for beginners', 'whatsapp encryption', 'whatsapp privacy', 'whatsapp read receipts', 'whatsapp read receipts off', 'privacy', 'read receipts', 'whatsapp read receipt', 'last seen', 'whatsapp last seen', 'privacy setting', 'privacy feature', 'private messaging']]",['74353'],['1020']
